effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,X_c:X_k,-0.27499105774905097,0.16827759382379207,-0.6019111006364198,0.05853934860091856
ran_pars,cond,item_id,sd__(Intercept),0.6358757379944949,0.05097114097880122,0.5438167965055872,0.7428407330633129
ran_pars,cond,item_id,sd__X_c,0.594887701876373,0.05789967692740403,0.491008466327957,0.7148668199975057
ran_pars,cond,subj_id,sd__(Intercept),0.6171987314345283,0.07416517370513827,0.48920972064320495,0.7722045268564884
ran_pars,cond,subj_id,sd__X_c,0.7015044467968027,0.09246206345482458,0.54496020650214,0.903851302171103
ran_pars,cond,subj_id,sd__X_k,0.5316892193657613,0.07627053844876672,0.4020321630379933,0.7024552266709779
ran_pars,cond,subj_id,sd__X_c:X_k,0.6079437895110787,0.10870921111946459,0.4144709387163107,0.845489655963205
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.17104223147880265,0.12243199461049203,-0.40355584983367243,0.06701939453007867
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.1989812105704154,0.15791819189545966,-0.12852397211767935,0.48513669327839853
ran_pars,cond,subj_id,cor__(Intercept).X_k,0.052240775882237044,0.17394730568289618,-0.2890125334642762,0.3836062283842108
ran_pars,cond,subj_id,cor__X_c.X_k,0.1440138083551273,0.17219542048656603,-0.20693184200890877,0.4752538543919942
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.029266216650295995,0.19363799688901268,-0.39930381035198115,0.3568952129080574
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.19510294109982448,0.19554819425957895,-0.5455123863372378,0.20526645365850202
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,-0.16418903114432976,0.19891982933762556,-0.525562492723264,0.23692754412396025
fixed,cond,NA,(Intercept),-0.16422698120886592,0.12668589715571102,-0.40758419485271646,0.07635456503948329
fixed,cond,NA,X_c,-0.06297423924404014,0.12075538378486741,-0.295286560209152,0.18026538304077322
fixed,cond,NA,X_k,0.06824329417371602,0.16826814612370225,-0.26891930987777635,0.3914817408064904
fixed,cond,NA,X_c:X_k,-0.23028792607443638,0.18715727830663756,-0.5956280675714131,0.13727826116383193
ran_pars,cond,item_id,sd__(Intercept),0.6260081297477307,0.0505975770952197,0.5365442003258906,0.7346831768753521
ran_pars,cond,item_id,sd__X_c,0.5867703353702285,0.05777236801417545,0.478893126159752,0.708577076442402
ran_pars,cond,subj_id,sd__(Intercept),0.7139959152371558,0.09230737720370898,0.5588994620050713,0.9197371624297223
ran_pars,cond,subj_id,sd__X_c,0.6304011478760607,0.08462359599699887,0.48309016834410573,0.814610112140087
ran_pars,cond,subj_id,sd__X_k,0.6746399542061559,0.0890793699909532,0.5248801102411159,0.8725154203432501
ran_pars,cond,subj_id,sd__X_c:X_k,0.7721753135048699,0.12589923527382643,0.5552598962250723,1.0446146010968922
ran_pars,cond,item_id,cor__(Intercept).X_c,-0.0716800843796452,0.12221344150437277,-0.3074252603142439,0.1703764740548736
ran_pars,cond,subj_id,cor__(Intercept).X_c,-0.007771449613454842,0.16740680299540317,-0.33047543999906304,0.3276246332498575
ran_pars,cond,subj_id,cor__(Intercept).X_k,0.27719347537330913,0.1548240725136369,-0.04125244936790699,0.5638211839255598
ran_pars,cond,subj_id,cor__X_c.X_k,-0.1316255644628411,0.16365501313502728,-0.44469773353154696,0.19870736253121424
