Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c:X_k)-(0.0) = 0,-0.0069384663974800245,0.05706561816600967,-0.12038101370019876,0.10553552989318365,NA,NA,
(X_c)-(0.0) = 0,-0.0188707829888858,0.028086265249979373,-0.07477474519782358,0.03599592613438535,NA,NA,
(X_k)-(0.0) = 0,-0.008192435490284452,0.02755495873448836,-0.06301298249728181,0.04511058148624139,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.05645292443502655,0.05562198443345054,-0.16439554412426186,0.05549829718432073,NA,NA,
(X_c)-(0.0) = 0,-0.024486409573737024,0.027926175657214083,-0.07918665977611761,0.03063532842483444,NA,NA,
(X_k)-(0.0) = 0,0.02242143500969107,0.027977892667048632,-0.03232745852268293,0.07856109567169696,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.08836471879590062,0.05584519541007157,-0.19631012747661264,0.019745856026968926,NA,NA,
(X_c)-(0.0) = 0,-0.03214027936724996,0.027707246072525508,-0.08499413366670931,0.021822793721346528,NA,NA,
(X_k)-(0.0) = 0,0.18853005225681224,0.028313256300990724,0.13482436238969653,0.24485403458357755,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.1861617238921215,0.05727887868260178,-0.2978754369027983,-0.0757857500947909,NA,NA,*
(X_c)-(0.0) = 0,-0.04937835504548348,0.029146029118774022,-0.10786250590081622,0.010352210411056705,NA,NA,
(X_k)-(0.0) = 0,-0.015517073675553123,0.028452945961982383,-0.0688252634125082,0.03997724996326693,NA,NA,
(X_c:X_k)-(0.0) = 0,0.36307547295723425,0.057269082668586824,0.24730503509021112,0.4800342027440665,NA,NA,*
(X_c)-(0.0) = 0,0.057196738464878785,0.02795099179810769,0.001965348024064034,0.11200708801651736,NA,NA,*
(X_k)-(0.0) = 0,0.07439143180006284,0.0279571656777381,0.0211400255958949,0.13110490110018602,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.016418107335012533,0.05746744338966115,-0.09718671078049188,0.1274054761394181,NA,NA,
